timestamp,No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Last Direct Cost,Indirect Cost _,Cost is Adjusted,Allow Online Adjustment,Vendor No_,Vendor Item No_,Lead Time Calculation,Reorder Point,Maximum Inventory,Reorder Quantity,Alternative Item No_,Unit List Price,Duty Due _,Duty Code,Gross Weight,Net Weight,Units per Parcel,Unit Volume,Durability,Freight Type,Tariff No_,Duty Unit Conversion,Country_Region Purchased Code,Budget Quantity,Budgeted Amount,Budget Profit,Blocked,Block Reason,Last DateTime Modified,Last Date Modified,Last Time Modified,Price Includes VAT,VAT Bus_ Posting Gr_ (Price),Gen_ Prod_ Posting Group,Picture,Country_Region of Origin Code,Automatic Ext_ Texts,No_ Series,Tax Group Code,VAT Prod_ Posting Group,Reserve,Global Dimension 1 Code,Global Dimension 2 Code,Stockout Warning,Prevent Negative Inventory,Application Wksh_ User ID,Assembly Policy,GTIN,Default Deferral Template Code,Low-Level Code,Lot Size,Serial Nos_,Last Unit Cost Calc_ Date,Rolled-up Material Cost,Rolled-up Capacity Cost,Scrap _,Inventory Value Zero,Discrete Order Quantity,Minimum Order Quantity,Maximum Order Quantity,Safety Stock Quantity,Order Multiple,Safety Lead Time,Flushing Method,Replenishment System,Rounding Precision,Sales Unit of Measure,Purch_ Unit of Measure,Time Bucket,Reordering Policy,Include Inventory,Manufacturing Policy,Rescheduling Period,Lot Accumulation Period,Dampener Period,Dampener Quantity,Overflow Level,Manufacturer Code,Item Category Code,Created From Nonstock Item,Product Group Code,Purchasing Code,Service Item Group,Item Tracking Code,Lot Nos_,Expiration Calculation,Warehouse Class Code,Special Equipment Code,Put-away Template Code,Put-away Unit of Measure Code,Phys Invt Counting Period Code,Last Counting Period Update,Use Cross-Docking,Next Counting Start Date,Next Counting End Date,Id,Unit of Measure Id,Tax Group Id,Sales Blocked,Purchasing Blocked,Item Category Id,Over-Receipt Code,Routing No_,Production BOM No_,Single-Level Material Cost,Single-Level Capacity Cost,Single-Level Subcontrd_ Cost,Single-Level Cap_ Ovhd Cost,Single-Level Mfg_ Ovhd Cost,Overhead Rate,Rolled-up Subcontracted Cost,Rolled-up Mfg_ Ovhd Cost,Rolled-up Cap_ Overhead Cost,Order Tracking Policy,Critical,Common Item No_,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
b'\x00\x00\x00\x00\r\x06Y\x0c',AIP000001,,TRIFIXIME 200MG CAPSULE x 50's,TRIFIXIME 200MG CAPSULE X 50'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,513.39004,513.39004,513.39282,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2025-02-28 06:35:34.747,2025-02-28,1754-01-01 14:35:34.747,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,1753-01-01,513.39004,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,3,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,513.39004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,2DB01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.553,7E45060B-A2A4-4F72-B553-3234C753B380,2026-01-12 01:50:42.237,5428A7C5-0CCA-4C68-BF2D-3ED6031F3D6F
b'\x00\x00\x00\x00\ne\xfae',AIP000002,,TRIFIXIME 100MG/5ML SUSP 60ML,TRIFIXIME 100MG/5ML SUSP 60ML,,BOT,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,41.96,41.96,41.96,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2021-11-15 11:13:15.660,2021-11-15,1754-01-01 19:13:15.660,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,1753-01-01,41.96,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOT,BOT,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,2EB01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.630,7E45060B-A2A4-4F72-B553-3234C753B380,2024-07-02 02:28:01.727,34C3286C-E7F6-4F45-8F69-19CD015F1C1B
b'\x00\x00\x00\x00\ne\xfai',AIP000003,,TRIFIXIME 20MG/ML 30ML DROPS,TRIFIXIME 20MG/ML 30ML DROPS,,BOT,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,37.5,37.5,0.0,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2021-11-15 11:13:27.017,2021-11-15,1754-01-01 19:13:27.017,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,1753-01-01,37.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOT,BOT,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,2FB01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.630,7E45060B-A2A4-4F72-B553-3234C753B380,2024-07-02 02:28:01.727,34C3286C-E7F6-4F45-8F69-19CD015F1C1B
b'\x00\x00\x00\x00\x0c\x85v=',AIP000006,,IRBEGEN 300MG FC TABLET x 30's,IRBEGEN 300MG FC TABLET X 30'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,141.96007,141.96007,141.96,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2021-11-15 11:13:37.050,2021-11-15,1754-01-01 19:13:37.050,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,EXEMPT,1,,,0,0,,0,,,0,0.0,,1753-01-01,141.96007,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,141.96007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,30B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.647,7E45060B-A2A4-4F72-B553-3234C753B380,2025-11-26 00:42:24.717,34C3286C-E7F6-4F45-8F69-19CD015F1C1B
b'\x00\x00\x00\x00\r\x06\xbd\xa7',AIP000010,,ENTEGARD 500MCG TABLET x 30's,ENTEGARD 500MCG TABLET X 30'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,803.57,803.57,803.57143,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2024-09-30 06:11:40.957,2024-09-30,1754-01-01 14:11:40.957,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,1,0.0,,1753-01-01,803.57,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,803.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,31B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.647,7E45060B-A2A4-4F72-B553-3234C753B380,2026-01-12 08:02:05.817,5428A7C5-0CCA-4C68-BF2D-3ED6031F3D6F
"b'\x00\x00\x00\x00\r\x06\x81,'",AIP000013,,CLONIGEN 75MCG TABLET x 100's,CLONIGEN 75MCG TABLET X 100'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,240.0,240.0,240.0,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2025-03-06 02:26:27.710,2025-03-06,1754-01-01 10:26:27.710,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,EXEMPT,1,,,0,0,,0,,,1,0.0,,2025-02-28,240.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,32B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.663,7E45060B-A2A4-4F72-B553-3234C753B380,2026-01-12 03:37:41.797,0B709DB4-D647-42B9-9EEF-809FBE63D915
b'\x00\x00\x00\x00\r\x06(K',AIP000017,,CLONIGEN 150MCG TABLET x 100's,CLONIGEN 150MCG TABLET X 100'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,446.43,446.43,446.43,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2024-09-30 06:12:11.667,2024-09-30,1754-01-01 14:12:11.667,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,EXEMPT,1,,,0,0,,0,,,1,0.0,,1753-01-01,446.43,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,446.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,33B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.680,7E45060B-A2A4-4F72-B553-3234C753B380,2026-01-12 00:42:00.580,0B709DB4-D647-42B9-9EEF-809FBE63D915
b'\x00\x00\x00\x00\r\x06f\t',AIP000018,,KALIGEN 750MG SR TAB x 50's,KALIGEN 750MG SR TAB X 50'S,,BOT,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,223.21,223.21,223.21429,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2024-09-26 02:51:41.837,2024-09-26,1754-01-01 10:51:41.837,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,1753-01-01,223.21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOT,BOT,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,223.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,34B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.680,7E45060B-A2A4-4F72-B553-3234C753B380,2026-01-12 02:03:04.443,0A03287F-3B77-4821-969F-D1C214171B0D
b'\x00\x00\x00\x00\x06u3\xd6',AIP000019,,AMOXICILLIN 500MG CAPS x 100's ,AMOXICILLIN 500MG CAPS X 100'S,,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,125.0,125.0,0.0,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2022-12-05 03:25:58.290,2022-12-05,1754-01-01 11:25:58.290,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,1753-01-01,125.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,35B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.693,7E45060B-A2A4-4F72-B553-3234C753B380,2022-12-05 03:25:58.290,8FDCE4A2-E551-4114-AA5B-A4A6BAB4255F
b'\x00\x00\x00\x00\x0c\x93\x13Y',AIP000020,,CEFALEXIN 500MG CAPS x 100's  (ACTIMED),CEFALEXIN 500MG CAPS X 100'S  (ACTIMED),,BOX,0,0,STOCK,,,1,0,0,0.0,0,0.0,4,313.39,313.39,313.39286,0.0,1,1,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0,,2024-11-26 05:29:06.633,2024-11-26,1754-01-01 13:29:06.633,0,,STOCK,00000000-0000-0000-0000-000000000000,,0,,,GOODS12,1,,,0,0,,0,,,0,0.0,,2023-02-28,313.39,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,1.0,BOX,BOX,,0,0,0,,,,0.0,0.0,,STOCKS,0,,,,LOTEXP,,,,,,,,1753-01-01,1,1753-01-01,1753-01-01,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,0,0,00000000-0000-0000-0000-000000000000,,,,313.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,36B01CA2-2178-EB11-AA10-000D3AA30FE3,2021-02-26 10:59:02.717,7E45060B-A2A4-4F72-B553-3234C753B380,2025-12-22 02:49:01.727,0B709DB4-D647-42B9-9EEF-809FBE63D915
