Doctor Name,Address,PTR
MINETTE FLORES,nan,nan
ONOFRE GUTTIEREZ,nan,nan
CHARO BUSTOS,nan,nan
CARLEX LAZAGA,nan,nan
IVAN CUDAL,nan,nan
GEORGE MARTINEZ,nan,nan
ELAINE TOLENADA,nan,nan
GELAINE PANIM,nan,nan
MARK CO,nan,nan
CLEZZEL MONSANTO,nan,nan
MARY GRACE ROQUE,nan,nan
ANGIELYN  ASUNCION,nan,nan
CRISPINO IBUAN,nan,nan
FRANCIS XAVIER MISLANG,nan,nan
FRANCISCO ONTALAN,nan,nan
CONCEPCION CABATBAT,nan,nan
MARIA CHENG APURA,nan,nan
SHERILYN CABUAY,nan,nan
CRISANTA PALABAY,nan,nan
RYDELL KITONGAN,nan,nan
MARY JUDITH RAGAZA,nan,nan
MANUEL MONIS,nan,nan
NELSON GUNDRAN,nan,nan
THESSIE VALDEZ,nan,nan
EDWARD GAERLAN,nan,nan
JOYCE DELA CRUZ,nan,nan
MARCO DELA CRUZ,nan,nan
GEORGIA LOMIBAO,nan,nan
MARIAN GRACE FORMOSO,nan,nan
LORALIE ESPEJO GALERA,nan,nan
RHOME ARLYN PACIS,nan,nan
REGINALD QUETURAS,nan,nan
TEOFANES CRUCES,nan,nan
CATCATAN HELEN,nan,nan
LUTECE KRYSTEL DELOS SANTOS,nan,nan
MARVIN RIAMBON,nan,nan
MAUREEN VALENTIN,nan,nan
JOHN REYNOLD QUERUBIN,nan,nan
LENNIE CASTILLO,nan,nan
CATHERINE ANG,nan,nan
ANNA ARCELLANA,nan,nan
CATHERINE TAN,nan,nan
NOEL MAHINANG,nan,nan
ABAGAIL CUDEL,nan,nan
CARLO FRANCO PAMINTUAN,nan,nan
DANIEL JUDE DELA CRUZ,nan,nan
RAMONCITO TRIA,nan,nan
JOSEPH CUARESMA,nan,nan
MAMAUAG ROLAND,nan,nan
JEANNE LOU SANCHEZ,nan,nan
FRANCHESKA BAUTISTA,nan,nan
SABRINA TIA,nan,nan
CATHERINE EMILY VIADO TORRES,nan,nan
FRANCISCO OLIVAR,nan,nan
GINA ANG,nan,nan
TADDIE ABORDO,nan,nan
ESTRELLITA TE,nan,nan
GRACE KO-DE LOS SANTOS,nan,nan
DARWIN DY,nan,nan
JOSEPH SIA TAN,nan,nan
REY BO JEAN,nan,nan
FREDERICK SUPAN,nan,nan
RAY CANAYON,nan,nan
JULIET KAW-NAVARRO,nan,nan
DONATO TING,nan,nan
EUGENE REYES,nan,nan
ROSITA OCAMPO,nan,nan
ROBERTO RAYMUNDO,nan,nan
NABLE SEMILLA,nan,nan
RAMON RICAFRENTE,nan,nan
ANTONIO PABIS,nan,nan
ANDREW ANG,nan,nan
CAMILO TE,nan,nan
MARIE BARRIENTOS-REGALA,nan,nan
IVY CATHERINE RIVERA GO,nan,nan
SHIELA MARIE IBANA,nan,nan
JOSEPH NERI,nan,nan
JOSEPHINE SORILLA,nan,nan
ISABELLA CATIBOG,nan,nan
WANDREW PO,nan,nan
RENATO RECIO,nan,nan
LOURDES DORION DIAZ,nan,nan
AMOR LAURO,nan,nan
SARMIENTO JOSIERINA,nan,nan
KATRINA ASUNCION,nan,nan
MONICA THERESE CABRAL,nan,nan
JIMMY ARAGON,nan,nan
JASMIN MELISA BERNARDO,nan,nan
CAYCO ANTONIO,nan,nan
CHRISTINE PASCUAL,nan,nan
ANDRE LAWRENCE TOJINO,nan,nan
RUBEN ORTEGA,nan,nan
CLAVEL MACALINTAL,nan,nan
HOLIDAY TAPPAN,nan,nan
ROLANDO MACALALAG,nan,nan
CESAR SY,nan,nan
SILVEROSE AGUSTIN,nan,nan
MARVIN ACE TINDOY,nan,nan
MARK GERARD MADARANG,nan,nan
MARC CHESTER CRISTOBAL,nan,nan
RICHIE REYES,nan,nan
CELESTINO DALISAY,nan,nan
MIA DACUMOS,nan,nan
CHRISTINE SALGADO,nan,nan
JOSE MARI ALLESSANDRO LIBO-ON,nan,nan
FROILAN DE LEON,nan,nan
PACHECO GENEVIEVE,nan,nan
EDUARD CESAR MARQUEZ,nan,nan
CRISTINA JARING,nan,nan
LAUREN KAYE EVANGELISTA,nan,nan
SUZETTE AMBAGAN,nan,nan
JONIL TORRELAVEGA,nan,nan
GERTRUDE REYES,nan,nan
JOEL CARLOS,nan,nan
MARLISA CALMA,nan,nan
RAYMUND MARCUS ORLINO,nan,nan
MAREON SANDOVAL,nan,nan
REI FABBIE SIERRA,nan,nan
JOHN VINCENT SALVANERA,nan,nan
JEROME IDEA,nan,nan
REGINA GREGORIO,nan,nan
CHRISTOPHER CABIDA,nan,nan
MICHAELLA NULUD-AMORA,nan,nan
ROWENA JAVONILLO,nan,nan
IMELDA ICASIANO,nan,nan
RICH JOHN MERCENE,nan,nan
ROCHELLE LINGAD SAYAS,nan,nan
ELSA PEREGRINO,nan,nan
REYES JASON,nan,nan
KEVIN ESGUERRA,nan,nan
RAYMUND FAIGAO,nan,nan
ESAGUNDE ROMULO,nan,nan
AURA LANABAN,nan,nan
PLACIBELLA SALEGON,nan,nan
TRISHA MANALAYSAY,nan,nan
CRISTINE MARIE CHIONG,nan,nan
JENNIFER LEAÑO,nan,nan
KERVIN CALLOS,nan,nan
POL BAULOS,nan,nan
RALPH JEFFERSON TAN,nan,nan
MARK ANTHONY TOM,nan,nan
RAMCIS PELEGRINO,nan,nan
KRIS KAREN AWIT,nan,nan
LIZA ROWENA GARCIA,nan,nan
SHERWIN LOUIS NINO GO,nan,nan
ROCHELLE ANN DOMINISAC,nan,nan
CASILDA UY,nan,nan
CHERRY MAGBANUA,nan,nan
AMOR GUINMAPANG,nan,nan
EXCEL ESTACION,nan,nan
BAI TARJATA MACADATU,nan,nan
SIRIKIT ABDULA,nan,nan
CARLO MARTIN COPIA,nan,nan
ELNA MARTINEZ,nan,nan
WILFREDO ARTES,nan,nan
MA.JOSEFA MOJICA,nan,nan
JEAN ALCOVER,nan,nan
KRISTINE UY,nan,nan
NAMPHRIL MALALUAN,nan,nan
DARYL JADE DAGANG,nan,nan
DARYLL ANNE VALDEHUEZA,nan,nan
CATHRINE ROSE ZARATE,nan,nan
DON AVILA DUERO,nan,nan
VALERIE MALINAB,nan,nan
RHODORA CABUNILAS,nan,nan
ANIZA PALA,nan,nan
JILL IREN CAPISTRANO SUN,nan,nan
JUDEE ANNE GO SEE,nan,nan
KATHLEEN GARINGARAO,nan,nan
CARLO GARINGARAO,nan,nan
ARNEL DEBALUCOS,nan,nan
KAREN DACUDAO,nan,nan
NUR HANNA MUA,nan,nan
KRISTINE SANDOVAL,nan,nan
ANA RICA MADERASO,nan,nan
MARIE SIGOURNEY WONG,nan,nan
MAR-LIZA BALIDO,nan,nan
NOREEN SINGKEE,nan,nan
DARWISA SINGKEE,nan,nan
JERNE KAZ PABER,nan,nan
EDGAR BISQUERA,nan,nan
ANA VICTORIA GO,nan,nan
JARNA HAMIN,nan,nan
MA. GABRIELLA GONZALES,nan,nan
HAROLD CAGANG,nan,nan
MARICRIS CAPARAS,nan,nan
FLORAVIL MABRAS,nan,nan
BUBY AYO,nan,nan
DEANNA RAE LIBARIOS,nan,nan
BETSY ACOS,nan,nan
PAUL RODRIGUEZ,nan,nan
ROMINA SAJULGA,nan,nan
DR. ODILIO YU,nan,nan
ROMAN SANTOS,nan,nan
IAN KONRAD LAZARO,nan,nan
MA SERRIE SUMINISTRADO,nan,nan
GRACE JOY ARCEO,nan,nan
RACHELLE COLOMA DAUS,nan,nan
SIMONETTE TAYAG GERMINO,nan,nan
ERIKSON GONZALES,nan,nan
RAYMOND ROSALES,nan,nan
RACHEL ENOJADA,nan,nan
MARIA MARGARET QUIBLAT,nan,nan
JOSEPH CLAVIO,nan,nan
MA ALMA CARANDANG,nan,nan
MARI FAY SAN DIEGO,nan,nan
MARITZIE ERIBAL,nan,nan
DENNIS ONA,nan,nan
ARCY JAMES ALEJANDRE,nan,nan
MELIZA DADUA ECAL,nan,nan
FELIPE GOZAR DUQUE,nan,nan
GREG DAYRIT,nan,nan
BELLY JAMAICA GARCIA,nan,nan
PATRICIA ARROYO,nan,nan
BERNICE GUTIERREZ,nan,nan
JOSE RUEL SERRANO,nan,nan
JIREH ALPARAS,nan,nan
MYRA JAZEL AUSTRIA,nan,nan
ANNAMARIE EUSEBIO,nan,nan
MA LOURDES NOCUM,nan,nan
SAMANTHA PAMINTUAN,nan,nan
ABEL LAXAMANA,nan,nan
ALVIN HARREN MAGTOTO,nan,nan
JACQUELINE LIMJOCO,nan,nan
JOHN KEVIN NICDAO,nan,nan
DANIEL MIRANDA,nan,nan
IVY CRUZ,nan,nan
SAMANTHA ROBLES,nan,nan
JAY JOSEPH NICOLAS,nan,nan
DEBBIE OLIVEROS,nan,nan
JONAS LIM,nan,nan
JEZREEL APAPE,nan,nan
APPLE GABBION,nan,nan
AILEN BLUE TUAZON,nan,nan
ARMIN PERPUSE,nan,nan
ALEX JOE SANTOS,nan,nan
CATHERINE CARIAGA,nan,nan
ADORA PUNZALAN,nan,nan
SUSAN ORBE,nan,nan
