PTR_FINAL,MD_NAME
1000,CARLOS JOEL
10000,CARLOS JOEL
100000,CARLOS JOEL
1000000,CARLOS JOEL
1000001,HILARIO TRISTAN
100001,HILARIO TRISTAN
10000203,CARREON CARLO RODRIGO
1000025,DAMPIL OLIVER ALLAN
1000035,ARANAS SHELLY MAE
100004,UNTALAN CHRISTINE AGATHA
100006,PASNO MARIA CARIDAD
100007,ADDATU ALMA REYES
10000904,SALAZAR NENE GUMATAY
10000909,SALAZAR NENE GUMATAY
10001,HILARIO TRISTAN
100010,HILARIO TRISTAN
100014,MALLILLIN OMEGA
100015,ANG GINA
10002,CARREON CARLO RODRIGO
100023,CARREON CARLO RODRIGO
1000233,CARREON CARLO RODRIGO
100025,DAMPIL OLIVER ALLAN
1000278,FORONDA SHERWIN
1000295,ANG ANDREW
100034,GUEVARRA SHERWIN
100035,ARANAS SHELLY MAE
10004,GO LUIS RAYMOND
100043,LAGMAN CHRISTINE DOMINE
1000444,PANER MAIDENLOVE RAGUERO
100045,ADOR MARR ENRICO
1000457,KANAPI MARIA PRINCESS LANDICHO
100046,ADOR MARR ENRICO
100049,ADOR MARR ENRICO
100051,SALVADOR DOLORES RAQUEL
100053,ARANAS SHELLY MAE
100054,RABO CARTER
100058,RECIERDO JOSEPHINE
1000588,TUAZON JANICE LORIE CRUZ
10006,PASNO MARIA CARIDAD
100061,CEPEDA MONETTE
1000611,GUMATAY WILBERT ALLAN
100063,AFAGA ARLENE
100065,CEPEDA MONETTE
1000654,RABO CARTER
1000666,SALVADOR EVANGELINE
100069,LEY EVELYN ONG CHUA
1000694,MENDOZA ROSS ALLAN
1000696,PATAL PERPETUA
10007,ADDATU ALMA REYES
10007099,AMIL WALID
100076,CRUZ MA MARCI CASTILLO
1000762,MACALINTAL VINCENT
100077,OCAMPO MELLMONT LAGUNILLA
100079,PEREZ ANA MARIE
10008000,MENDOZA MINA
1000811,TIMBOL EDGAR WILSON
1000822,GALVEZ RAULDAN
100087037,KANAPI MARIA PRINCESS LANDICHO
1000877,FERNANDEZ RENE
1000880,NARIO RONALD WINLY
10009,HILARIO TRISTAN
1000908,AMANSEC MARIA NERISSA SUNGA
100091,ROQUE CHRISTIAN
100096,CANTILANG RONALDO
100097,REYES DON ROBESPIERRE
100098,CANTILANG RONALDO
10010106,MANTALA JOSEPT
1001016,MANTALA JOSEPT
100102,REYES DON ROBESPIERRE
100103,PALATTAO ERWIN
1001074,MENGUITA MARK DENNIS
100108,RUBIO ROBERT JOSEPH
100109,RUBIO MA RHOMA
10011,ARMADA BERNADETTE
1001184,TOPACIO GRACITA
1001189,BALDEMOR DANILO
10012,CASINO PHILIP
100123,ORDONEZ REYNALDO
1001234,ORDONEZ REYNALDO
10013004,FLORES MARK JOMEL
100137,ZACARIAS MANUEL
100138,SAN JUAN MARY JENN
100140,PALANGINAN MARK KRYSTER
1001518,DOMINGO MARIO
100156,GERODIAS FERDINAND JR
10016,MANTALA JOSEPT
100161,CEPEDA MONETTE
100163,PAGADDU ETHEL MAUREEN
1001640,SANTOS HARIM JR
10017,YU RODOLFO JR
100171,ECAL MELIZA DADUA
100175,RAMOS GLENN MICHAEL
100178,REYES ANGELITO JR
1001783,PAGADDU ETHEL MAUREEN
10018,LAGMAN CHRISTINE DOMINE
100181,CRISOLOGO GUILLMAR
100182,PAGADDU ETHEL MAUREEN
100183,PAGADDU ETHEL MAUREEN
100184,CRISOLOGO GUILLMAR
100185,PAGADDU ETHEL MAUREEN
100188,PAGADDU ETHEL MAUREEN
1001880,LOKIN JOHNNY
1001939,BUITIZON RODEL
100197,MONTEMAYOR JACOBO
100198,MARQUEZ MILDRED
1002,CARREON CARLO RODRIGO
100209,TAN MAYVELIN
10021,DE LUZURIAGA MAE LINDA
10021025,FAJARDO EDGARDO
10021075,FAJARDO EDGARDO
100210753,FAJARDO EDGARDO
100212,MARTINEZ JAYMIE ANNE
1002123,CANCERAN VICTORIA CARREON
100215,DE LARA AILEEN CYNTHIA
100216,AYSON PATRICIA
1002169,DE LUZURIAGA MAE LINDA
10022,CARREON CARLO RODRIGO
1002223,CARREON CARLO RODRIGO
100223,CANCERAN VICTORIA CARREON
1002233,CARREON CARLO RODRIGO
100225,LAGMAN CHRISTINE DOMINE
100227,GO JOYCE DICO
10023,MENDEZ SHAN
10023004,FLORES MARK JOMEL
10023250,SANOPO ANNA CHARISSA
100233,CANCERAN VICTORIA CARREON
100234,YUMANG GABROIEL LAENO
100238,BUSTOS CHARO
10024,GALVEZ RAULDAN
100246,CINCO JERRYVER
10025,CARREON CARLO RODRIGO
1002533,TUAZON ALEXANDER
10025718,ROME MICHAEL
1002622,DUMDUM VERNON
100265,ORCAJADA ROMEO
10027,FORONDA SHERWIN
100270,ALCANTARA ALEXANDER
1002715,BARCE JERUSA GASCON
1002724,COMBE ROSSEL
100273,AMANTE MA EUGENE
100274,OCAMPO MARIA CECILIA MALLARI
1002748,FORONDA SHERWIN
100278,FORONDA SHERWIN
10028,GONZALES RENE
100280,NONIFARA ANA MARIA VILLAMONTE
1002855,DAUS RACHELLE COLOMA
1002868,ESCANO FELIPE
100288,RASAY FRANCE GIL
1002881,BAUTISTA CLARA LARENA
10029,VILLANUEVA JOYCE ANGELI
100295,ANG GUINEVERE
1002999,ARMADA BERNADETTE
10030,DEL ROSARIO ANNA LIZA
1003001,SUAREZ RAMON JOSE
100302,FLORES MA NONETTE
1003027,LONTOC MICHELINDA GLORI
100307,RESURRECION ROY
100310,MERCADO ALVIN JOSEPH
1003100,PALANGINAN MARK KRYSTER
1003110,BAQUIRAN JULIUS
1003112,YU IRA INDUCTIVO
100312,CHING CHERYL MAY
1003121,AVILES EMMA
10031731,SARAGUDDIN ERWIN
1003200,FLORES RUBEN
100321,GALVEZ ANN CHERYL
10032386,SIMON MA KATRINA SALAZAR
100327,NOBLEZA AIMEE MARIE
1003280,NONIFARA JESTYN LEIGH
100334,BARBADILLO AMANDO BEN
100335,EBBA EDGARDO
1003373,PUNO DONALD REY
10034,GUEVARRA SHERWIN
100341,CRUZ ROMULUS EMMANUEL
100342,TEODORO MARIA LOURDES
100343,DAVID MARK FRANCISCO
100344,SANTELICES CRISTINE CATINDIG
100346,SUMINISTRADO MA SERRIE
10035,ARANAS SHELLY MAE
100356,TENORIO ANNE MARIE JOYCE
1003567,MIRANDA DONALD
10036,MIRANDA DONALD
100363,CHIO MITZI
1003636,CHANG-ODCHIGUE CELESTE SONYA
100367,MIRANDA DONALD
1003706,ALCANTARA EDNA
100372,MANTALA JOSEPT
100380,NONIFARA JESTYN LEIGH
100384,BARBADILLO AMANDO BEN
100393,MUTUC KENNETH
100394,MENDOZA ROSS ALLAN
1003996,RETUERMA GRACE PANGANIBAN
1004,BRILLO NIELLA EXCONDE
100402,ANGUS VICTORIO
100407,ADDATU ALMA REYES
100411,GUMATAY WILBERT ALLAN
10041159,ESTANISLAO IAN HERBERT
100415,BAYAN LEAH JEANETTE CASTILLO
1004184,CEPEDA MONETTE
1004268,RAMOS RIZA
100430,SANDOVAL MARK ANTHONY
1004301,LIMSI PHILIP
100431,BAYAN LEAH JEANETTE CASTILLO
100432,UY MANLEY
100435,BALISI PAUL
1004358,PALISOC RODEL
10044,PANER MAIDENLOVE RAGUERO
100444,PANER MAIDENLOVE RAGUERO
1004444,PANER MAIDENLOVE RAGUERO
1004457,KANAPI MARIA PRINCESS LANDICHO
100448,PANER MAIDENLOVE RAGUERO
10045,KANAPI MARIA PRINCESS LANDICHO
100450,CO GLORIA VIRGINIA
100451,ALAN PICHY ANN
100453,CASALLO ALLAN VON
100454,AGBAYANI MICHAEL JOSEPH
100456,RABO CARTER
100457,KANAPI MARIA PRINCESS LANDICHO
1004578,KANAPI MARIA PRINCESS LANDICHO
100458,CASALLO ALLAN VON
100461,AFAGA ARLENE
