Cross-Reference No.,Item No.,Description,FINAL GROSS Unit Price,DOH CEILING PRICE,DISC,net of disc,FINAL NET PRICE,VAT Product Posting Group,DIVISION,Standard Cost
307622.0,IP0000199,DIVALGEN 250MG ERT-RELEASE TAB,209.0,180.0,62.7,146.3,130.625,GOODS12,BU4,41.07
606152.0,IP0000017,LEVIT 500MG FCTABLET x 60's,2550.0,2280.0,765.0,1785.0,1593.75,GOODS12,BU4,535.71
802327.0,IP0000208,LOXENIL 600MG FCTABLET x10's,17850.0,18750.0,5355.0,12495.0,11156.25,GOODS12,BU2,714.29
606297.0,IP0000037,ZEFUR 500MG FCTABLET x 40's,2110.0,1928.57,633.0,1477.0,1318.75,GOODS12,BU2,464.29
307603.0,IP0000064,AMLODINE 10MG TABLET x 30's,400.5,581.92,120.15,280.35,280.35,EXEMPT,BU1,80.36
307602.0,IP0000065,AMLODINE 5MG TABLET x 30's,254.1,309.38,76.23,177.87,177.87,EXEMPT,BU1,46.88
307606.0,IP0000080,AMLODINE PLUS 5MG/100MG x 30's,776.79,776.79,233.037,543.753,543.753,EXEMPT,BU1,133.93
307609.0,IP0000079,AMLODINE PLUS 5MG/50MG x 30's,585.0,585.0,175.5,409.5,409.5,EXEMPT,BU1,80.36
307600.0,IP0000048,ATOR-10 10MG FCTABLET x 30's,375.0,375.0,112.5,262.5,262.5,EXEMPT,BU1,46.88
307601.0,IP0000049,ATOR-20 20MG FCTABLET x 30's,495.0,642.86,148.5,346.5,346.5,EXEMPT,BU1,107.14
307604.0,IP0000050,ATOR-40 40MG FCTABLET x 24's,546.0,621.43,163.8,382.2,382.2,EXEMPT,BU1,92.79
307605.0,IP0000071,AZI 500MG FCTABLET x 3's,299.64,321.43,89.892,209.748,187.275,GOODS12,BU2,46.88
313708.0,10000003,BIOCOMPLETE FCTablet x 80's,2240.0,2240.0,672.0,1568.0,1400.0,GOODS12,COMMON,
307614.0,IP0000198,BIZYX 2MG TABLET x 100's,1700.0,1600.0,510.0,1190.0,1062.5,GOODS12,BU4,178.57
802269.0,IP0000001,CELEXIB 200MG CAPSULE x 100's,2750.0,2750.0,825.0,1925.0,1718.75,GOODS12,BU2,312.5
802267.0,IP0000002,CELEXIB 200MG CAPSULE x 30's,825.0,825.0,247.5,577.5,515.625,GOODS12,BU2,
802256.0,IP0000074,CELEXIB 400MG CAPSULE x 100's,4500.0,4500.0,1350.0,3150.0,2812.5,GOODS12,BU2,669.64
606073.0,IP0000019,CLAVOXEL 125/31.25/5ML SUSP 60,162.4,0.0,48.72,113.68,101.5,GOODS12,BU2,49.11
606075.0,IP0000020,CLAVOXEL 250/62.5/15ML SUSP 60,228.48,0.0,68.544,159.936,142.8,GOODS12,BU2,78.57
606078.0,IP0000021,CLAVOXEL 250MG/125MG TAB x24's,846.0,0.0,253.8,592.2,528.75,GOODS12,BU2,225.0
606080.0,IP0000022,CLAVOXEL 500MG/125MG TAB x30's,1128.9,0.0,338.67,790.23,705.5625,GOODS12,BU2,321.43
606074.0,IP0000023,CLAVOXEL BID 200/28.5MG/5ML,224.0,0.0,67.2,156.8,140.0,GOODS12,BU2,53.57
309528.0,AIP000017,CLONIGEN 150MG TABLET,2600.0,3035.71,780.0,1820.0,1820.0,EXEMPT,BU1,446.43
309527.0,AIP000013,CLONIGEN 75MCG TABLET x 100's,2050.0,2053.57,615.0,1435.0,1435.0,EXEMPT,BU1,240.0
309525.0,IP0000052,CLOPIVAZ 75MG FCTABLET x 30's,810.0,803.7,243.0,567.0,506.25,GOODS12,BU1,89.29
802258.0,AIP000014,CLOTRIGEN 0.01% CREAM 10G,190.0,0.0,57.0,133.0,118.75,GOODS12,BU2,
802259.0,IP0000084,CLOTRIGEN 0.01% CREAM 3G,78.0,0.0,23.4,54.6,48.75,GOODS12,BU2,
307620.0,IP0000191,COXIGEN-120 120MG FCTAB x 30's,1500.0,0.0,450.0,1050.0,937.5,GOODS12,BU2,209.82
,,COXIGEN-90 90MG FCTAB x 30's,1200.0,0.0,,,,GOODS12,BU2,
309551.0,IP0000086,DESLOGEN 2.5MG/5ML SYRUP 60ML,320.0,320.0,96.0,224.0,200.0,GOODS12,BU2,45.54
309550.0,IP0000013,DESLOGEN 5MG TABLET X 100's,2900.0,2900.0,870.0,2030.0,1812.5,GOODS12,BU2,357.14
307623.0,IP0000200,DIVALGEN 500MG ERT.RELEASE TAB,264.0,230.0,79.2,184.8,165.0,GOODS12,BU4,56.47
307607.0,IP0000078,DONE 10MG FCT x 100's,4000.0,0.0,1200.0,2800.0,2500.0,GOODS12,BU4,
802292.0,IP0000009,DONE-5 5MG FCTABLET x 5's,250.0,0.0,75.0,175.0,156.25,GOODS12,BU4,
